customer_id,total_orders,total_gmv,total_days
619273,158,7201107.0,31
567069,137,7375590.0,31
576580,198,11504592.0,31
626075,68,3674451.0,27
569620,262,15103152.0,31
669462,78,4681430.0,27
616623,41,2108600.0,22
660502,35,2265940.0,21
573775,307,13988535.0,31
560661,216,13118626.0,31
575450,158,7470023.0,31
577562,171,11710583.0,31
636771,86,6471977.0,28
553244,395,23052823.0,31
639822,56,1813820.0,27
634062,39,1311800.0,21
569569,275,14464830.0,31
687550,102,4685950.0,26
627452,57,3067670.0,25
601872,144,7352937.0,31
612492,59,3833852.0,28
609996,55,2150313.0,26
615265,49,2641612.0,23
588762,113,6065371.0,31
575708,196,10033464.0,30
619523,103,6222433.0,31
666343,59,2487637.0,26
619147,46,3191005.0,26
607041,101,4680835.0,29
637468,26,969140.0,16
546165,233,15895132.0,31
644864,110,5866030.0,30
549799,428,27764260.0,31
651619,55,3180592.0,24
554483,304,20251831.0,31
603618,127,5732142.0,30
572706,213,13318541.0,31
647153,19,911150.0,14
597306,127,7189430.0,30
640489,102,4121700.0,31
683333,242,10469195.0,31
588346,121,12761115.0,30
604493,149,8812651.0,31
680294,181,10336168.0,30
635231,156,7068996.0,31
553127,456,30243964.0,31
572375,193,11098820.0,30
597293,142,7232060.0,31
622967,69,3739937.0,29
649435,78,5240609.0,29
617952,142,8336432.0,31
563736,258,17019339.0,31
678321,84,3348482.0,30
575044,121,6255727.0,31
555724,317,17536836.0,31
611806,87,4715751.0,30
628708,105,5509293.0,30
553073,275,20448608.0,31
560554,219,14185132.0,31
606546,146,7263435.0,31
663026,38,1718700.0,26
588804,161,11299146.0,31
581049,230,14029587.0,31
636694,54,2696175.0,27
571992,188,9146717.0,31
618581,64,2686965.0,27
630853,23,1051912.0,14
574252,221,13235130.0,31
601444,194,11279217.0,31
618630,68,4169623.0,30
578705,162,7908171.0,31
551904,417,25251883.0,31
592499,85,4186674.0,30
666874,22,930000.0,16
646337,40,2157213.0,23
683438,221,10311465.0,31
579870,135,7612012.0,30
579020,184,9957222.0,31
561349,270,14176838.0,31
673748,73,4009080.0,27
630236,82,3576355.0,30
656888,47,2473700.0,24
593683,204,12072070.0,31
643594,88,3411525.0,29
635402,70,4007027.0,31
625059,65,3348764.0,26
562295,231,13400306.0,31
597540,133,6835012.0,31
635597,121,5377815.0,29
561398,434,25809628.0,31
653118,64,3443261.0,26
605447,173,11251680.0,30
592337,179,10453759.0,31
649354,56,3117450.0,27
599306,228,10925911.0,31
629310,53,2570440.0,24
684143,254,14250145.0,31
616544,40,1790890.0,22
647734,40,2167457.0,25
609080,98,4120575.0,30
587355,125,6725209.0,30
669392,49,3393368.0,24
680927,113,5570390.0,31
591048,138,11729658.0,30
652814,144,6611035.0,30
660645,13,738300.0,9
631889,74,2908317.0,28
669086,59,2548800.0,27
576774,250,19454879.0,31
642472,36,1345041.0,22
576017,225,11801186.0,31
572613,123,6093680.0,31
633617,71,3616150.0,29
609177,146,9203574.0,31
571517,336,21319496.0,31
666348,54,1992025.0,23
670438,55,3882417.0,24
565996,116,6125099.0,31
642343,39,2069118.0,22
648163,22,1129400.0,15
549483,366,22872372.0,31
610704,23,1002850.0,19
581911,175,10675324.0,31
571326,361,18817044.0,31
676529,85,4929897.0,29
676838,55,2114140.0,23
589559,137,8027726.0,30
641269,55,2307550.0,26
632054,18,923000.0,15
672154,49,2782832.0,25
566613,216,12484435.0,31
591027,196,16540311.0,31
644756,39,1617208.0,24
643563,35,1518550.0,20
625228,67,3768150.0,26
573230,211,11327789.0,31
645831,117,5839451.0,31
650013,148,9441400.0,31
575901,105,6185076.0,29
611894,46,2699150.0,24
652796,94,5458210.0,30
586468,131,8622223.0,31
666799,45,1116599.0,25
611986,69,3175370.0,28
638009,71,2397740.0,29
622137,63,3717900.0,24
668128,57,2145228.0,26
674878,94,5102626.0,30
672396,27,1345652.0,16
664209,63,2258014.0,26
601415,153,10349148.0,31
576053,156,8049447.0,31
652927,32,1401335.0,23
563757,317,18749609.0,31
619530,66,4414891.0,26
683269,221,7974938.0,31
598842,127,6785531.0,31
608923,101,7038287.0,31
640430,100,4669780.0,29
607143,164,10067043.0,30
576939,274,13260913.0,31
582368,111,9132865.0,27
687431,83,3378210.0,20
575022,186,11756821.0,31
615830,50,2401053.0,26
625551,49,3066950.0,23
564480,222,12840889.0,31
561487,82,6548720.0,29
641959,3,179800.0,3
608069,143,7561416.0,31
655152,69,4016330.0,29
643031,101,5917365.0,28
654035,55,2873217.0,23
636661,109,4871912.0,29
666414,55,2567275.0,24
564427,281,16656520.0,31
685223,205,11086915.0,31
625160,39,1687100.0,23
682574,162,7363390.0,31
563899,366,21247973.0,31
623287,55,3031446.0,25
576728,214,16201760.0,31
570585,281,14849415.0,31
600298,186,6528265.0,31
632331,65,3765585.0,29
671580,58,2948100.0,28
668162,70,4158889.0,28
620072,48,2195450.0,26
662471,17,805170.0,13
650164,53,1835767.0,26
637614,64,3699229.0,26
575330,243,19354487.0,31
569416,260,13736129.0,31
591173,132,12379915.0,31
615001,62,2205090.0,27
561802,388,23692308.0,31
567127,208,11824539.0,31
25703,112,7958572.0,29
674312,70,3511763.0,26
659990,46,1761533.0,25
658371,27,706750.0,19
651965,87,3545525.0,30
625713,33,1760300.0,22
622012,103,4668230.0,29
627303,55,2237300.0,29
650888,40,1851550.0,18
675879,74,3803926.0,25
661159,62,3087850.0,26
631331,152,6267114.0,31
658058,17,821145.0,12
608594,97,6689619.0,27
616414,46,2262600.0,25
661745,18,2554115.0,12
670062,62,2434375.0,29
681057,168,8101915.0,31
594216,94,7385331.0,26
605453,79,4410486.0,28
660088,25,950375.0,18
598195,88,4164417.0,26
595478,69,3881964.0,28
638302,33,2024540.0,23
582136,135,8035265.0,30
633959,82,4856845.0,30
549953,347,19163707.0,31
565583,252,12817987.0,31
633174,85,4638702.0,30
664592,16,480170.0,12
597459,113,5382234.0,30
26282,161,12313339.0,30
597528,142,5980231.0,31
555557,319,21262402.0,31
583357,50,3243700.0,27
659064,24,1267701.0,18
627013,43,1629267.0,22
568010,215,12825215.0,31
652673,49,2913418.0,22
26190,85,6196800.0,30
605846,43,1472900.0,24
619126,150,10489041.0,30
650274,40,1248400.0,24
556533,277,18306070.0,31
554654,390,23471874.0,31
589082,151,8420384.0,31
666454,49,2503035.0,25
639720,36,1717296.0,20
583142,57,3253699.0,26
595764,114,5840371.0,31
647223,69,3227230.0,28
683293,180,7539824.0,31
652960,108,4709467.0,31
577989,96,4598536.0,29
598938,84,4163317.0,29
567368,209,12019122.0,31
609779,121,5083212.0,30
616818,14,898017.0,11
601870,177,10856069.0,31
681527,190,12057163.0,31
643715,21,1090000.0,18
655828,37,1644779.0,22
625436,35,1315150.0,21
686829,159,7121046.0,31
685249,155,6717274.0,31
668752,72,4003140.0,28
629842,120,4952310.0,31
630649,94,3629020.0,28
618376,131,6852615.0,31
631097,90,3953990.0,30
626153,58,2929150.0,29
591471,81,4025109.0,28
576760,110,6231116.0,30
588343,94,5490484.0,29
606742,101,6282319.0,31
663598,32,1475650.0,18
558251,323,20991904.0,31
634853,64,2628725.0,26
674256,76,2794628.0,27
584464,154,9351657.0,31
569652,180,9133882.0,31
574571,152,8770608.0,31
614593,71,2904125.0,28
592044,112,6859341.0,31
687890,158,7253918.0,24
595416,153,8780055.0,31
659697,25,1004700.0,16
546918,343,27571274.0,31
624626,17,1011350.0,14
595809,138,6897361.0,31
625476,118,4997418.0,31
630007,59,2527034.0,28
572583,285,13257960.0,31
664176,17,618950.0,13
592104,208,11283317.0,31
665102,42,2009644.0,22
